nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 21 11 21 10 184756 67004.0 ± 139.5 69471.9 ± 162.9 195.3 ± 1.2 136.671 ± .21447
2 21 11 21 10 184756 33763.9 ± 368.7 36308.0 ± 325.1 195.9 ± 2.2 70.267 ± .49156
3 21 11 21 10 184756 23915.9 ± 2298.8 25926.3 ± 1591.1 193.3 ± 0.7 50.035 ± 2.79572
4 21 11 21 10 184756 17593.1 ± 1607.2 20453.2 ± 2641.9 193.6 ± 0.7 38.239 ± 3.09236
5 21 11 21 10 184756 14159.4 ± 1169.8 16859.0 ± 2075.9 195.6 ± 5.7 31.214 ± 2.38281
6 21 11 21 10 184756 11926.5 ± 1099.1 14748.7 ± 1768.1 195.5 ± 3.7 26.870 ± 2.08187
7 21 11 21 10 184756 10123.2 ± 996.2 12631.4 ± 599.4 193.1 ± 0.7 22.947 ± 1.16262
8 21 11 21 10 184756 9205.6 ± 876.8 12137.6 ± 1410.8 243.2 ± 128.6 21.586 ± 1.66603
10 21 11 21 10 184756 7406.7 ± 803.5 10087.2 ± 880.7 193.2 ± 0.4 17.687 ± 1.19215
12 21 11 21 10 184756 6266.9 ± 789.3 8926.6 ± 1031.4 203.1 ± 28.9 15.396 ± 1.29908
14 21 11 21 10 184756 5413.2 ± 622.9 8243.7 ± 1053.0 208.4 ± 31.1 13.865 ± 1.22383
16 21 11 21 10 184756 5014.2 ± 757.9 7871.1 ± 1260.8 253.8 ± 102.0 13.139 ± 1.47459
18 21 11 21 10 184756 5714.6 ± 380.2 9422.2 ± 703.6 253.0 ± 45.1 15.389 ± .80102
20 21 11 21 10 184756 5351.5 ± 459.2 9342.3 ± 932.3 270.7 ± 83.0 14.964 ± 1.04256
24 21 11 21 10 184756 4783.3 ± 511.3 8708.5 ± 799.9 260.1 ± 42.2 13.751 ± .95028
28 21 11 21 10 184756 4396.8 ± 569.4 8207.9 ± 923.2 264.5 ± 39.0 12.869 ± 1.08537
32 21 11 21 10 184756 4208.0 ± 629.1 8311.8 ± 974.6 279.9 ± 16.2 12.799 ± 1.16011
