n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
3 2 3 10 2 29.8 ± 14.6 180.9 ± 76.8 150.1 ± 0.3 .360 ± .07817
5 2 5 10 4 23.8 ± 2.6 369.1 ± 14.1 144.5 ± 5.7 .537 ± .01542
7 2 7 10 6 24.8 ± 0.7 685.7 ± 21.6 157.2 ± 4.6 .867 ± .02209
9 2 9 10 8 14.1 ± 0.6 617.7 ± 8.8 92.5 ± 2.1 .724 ± .00906
11 2 11 10 10 18.2 ± 5.5 1066.4 ± 281.8 114.1 ± 29.5 1.198 ± .28339
13 2 13 10 12 18.0 ± 5.1 1385.3 ± 329.1 115.8 ± 22.3 1.519 ± .32989
15 2 15 10 14 17.4 ± 5.1 1739.0 ± 355.7 116.2 ± 15.1 1.872 ± .35605
17 2 17 10 16 17.6 ± 4.9 2167.6 ± 381.7 117.7 ± 1.3 2.302 ± .38173
19 2 19 10 18 17.8 ± 5.2 2634.5 ± 389.6 123.7 ± 0.9 2.776 ± .38963
21 2 21 10 20 18.6 ± 5.2 3166.0 ± 398.8 133.6 ± 6.4 3.318 ± .39888
23 2 23 10 22 19.0 ± 5.3 3751.9 ± 413.6 136.2 ± 1.1 3.907 ± .41363
25 2 25 10 24 17.8 ± 1.6 4388.5 ± 24.9 142.6 ± 3.1 4.548 ± .02514
